session_id,rider_id,session_time,time_on_app,pages_visited,converted,city,loyalty_status
S000103,R07453,2025-04-27 14:29:20+02:27,26,5,1,Nairobi,Bronze
S000104,R07984,2025-04-27 14:10:37+00:14,509,1,0,Lagos,Gold
S000105,R02790,2025-04-27 18:59:13+00:14,68,4,0,Lagos,Bronze
S000106,R05568,2025-04-27 09:09:59+02:27,20,3,1,Nairobi,Gold
S000107,R05811,2025-04-27 13:58:23+00:14,4,3,0,Lagos,Bronze
S000108,R09707,2025-04-27 19:33:16+02:05,1306,3,0,Cairo,Bronze
S000109,R05411,2025-04-27 20:02:14+00:14,4,5,0,Lagos,Platinum
S000110,R04295,2025-04-27 12:23:44+02:05,472,2,0,Cairo,Silver
S000111,R02348,2025-04-27 07:38:17+00:14,74,5,0,Lagos,Bronze
S000112,R02249,2025-04-27 11:59:56+02:27,128,3,1,Nairobi,Silver
S000113,R01349,2025-04-27 08:53:58+02:27,154,1,1,Nairobi,Bronze
S000114,R06502,2025-04-27 01:45:06+02:05,25,4,0,Cairo,Silver
S000115,R02598,2025-04-27 20:46:37+02:05,419,1,0,Cairo,Bronze
S000116,R08169,2025-04-27 18:58:39+00:14,24,5,0,Lagos,Bronze
S000117,R09799,2025-04-27 00:15:17+02:05,97,4,0,Cairo,Bronze
S000118,R02371,2025-04-27 20:33:43+02:05,30,4,0,Cairo,Silver
S000119,R07534,2025-04-27 13:39:31+02:27,17,5,0,Nairobi,Bronze
S000120,R04087,2025-04-27 20:12:55+02:05,0,3,0,Cairo,Silver
S000121,R03813,2025-04-27 10:13:31+02:05,24,5,0,Cairo,Bronze
S000122,R02210,2025-04-27 05:29:25+02:27,9,1,0,Nairobi,Bronze
S000123,R04467,2025-04-27 21:56:23+02:05,734,1,0,Cairo,Gold
S000124,R07719,2025-04-27 19:18:33+02:05,0,5,0,Cairo,Bronze
S000125,R06728,2025-04-27 20:53:14+02:27,64,3,0,Nairobi,Bronze
S000126,R00026,2025-04-27 21:39:32+00:14,12,2,0,Lagos,Bronze
S000127,R06608,2025-04-27 17:44:08+00:14,387,2,0,Lagos,Bronze
S000128,R01960,2025-04-27 05:19:30+02:05,57,1,0,Cairo,Gold
S000129,R08052,2025-04-27 09:21:28+02:05,10,1,0,Cairo,Bronze
S000130,R00045,2025-04-27 18:50:13+02:27,20,1,0,Nairobi,Bronze
S000131,R03097,2025-04-27 07:38:15+02:05,36,3,0,Cairo,Bronze
S000132,R03534,2025-04-27 17:01:32+02:05,18,1,0,Cairo,Silver
S000133,R00183,2025-04-27 05:05:21+02:05,3,2,0,Cairo,Bronze
S000134,R05632,2025-04-27 08:05:11+00:14,56,5,0,Lagos,Bronze
S000135,R07510,2025-04-27 21:05:34+00:14,72,5,0,Lagos,Silver
S000136,R06777,2025-04-27 07:56:02+02:27,7,2,0,Nairobi,Bronze
S000137,R07018,2025-04-27 21:09:08+00:14,87,5,1,Lagos,Bronze
S000138,R07337,2025-04-27 08:10:36+02:05,76,3,0,Cairo,Bronze
S000139,R01211,2025-04-27 13:02:56+02:05,2,2,0,Cairo,Bronze
S000140,R06800,2025-04-27 18:34:03+02:27,2,1,0,Nairobi,Bronze
S000141,R01349,2025-04-27 18:30:15+02:27,164,2,1,Nairobi,Bronze
S000142,R03712,2025-04-27 19:05:56+02:27,671,1,1,Nairobi,Silver
S000143,R07892,2025-04-27 17:17:59+00:14,13,5,1,Lagos,Gold
S000144,R06527,2025-04-27 07:59:58+00:14,49,2,0,Lagos,Bronze
S000145,R01278,2025-04-27 22:09:44+02:27,106,5,0,Nairobi,Silver
S000146,R03150,2025-04-27 19:24:46+02:05,10,5,0,Cairo,Bronze
S000147,R05328,2025-04-27 11:12:07+00:14,36,1,0,Lagos,Bronze
S000148,R05291,2025-04-27 00:34:31+02:27,45,4,1,Nairobi,Silver
S000149,R02094,2025-04-27 16:41:46+02:27,77,2,0,Nairobi,Silver
S000150,R07407,2025-04-27 08:49:24+02:27,36,5,0,Nairobi,Bronze
S000151,R03131,2025-04-27 08:49:32+02:27,13,1,0,Nairobi,Bronze
S000152,R04383,2025-04-27 18:15:17+02:05,19,2,0,Cairo,Bronze
S000153,R03048,2025-04-27 05:42:53+00:14,8,5,1,Lagos,Platinum
S000154,R03251,2025-04-27 08:09:00+02:05,15,2,0,Cairo,Silver
S000155,R03497,2025-04-27 00:08:22+02:27,218,2,0,Nairobi,Silver
S000156,R02585,2025-04-27 18:45:34+00:14,88,2,0,Lagos,Bronze
S000157,R06618,2025-04-27 09:01:36+02:27,14,4,0,Nairobi,Silver
S000158,R01800,2025-04-27 19:06:27+00:14,14,2,0,Lagos,Silver
S000159,R09375,2025-04-27 12:00:23+00:14,1,4,0,Lagos,Bronze
S000160,R00643,2025-04-27 19:54:29+02:05,17,1,0,Cairo,Silver
S000161,R00780,2025-04-27 22:44:20+02:05,47,1,0,Cairo,Bronze
S000162,R08980,2025-04-27 09:26:13+02:05,195,2,0,Cairo,Silver
S000163,R07589,2025-04-27 07:18:10+00:14,33,1,0,Lagos,Bronze
S000164,R08098,2025-04-27 17:23:29+02:05,20,4,0,Cairo,Gold
S000165,R02575,2025-04-27 14:17:55+02:27,11,1,1,Nairobi,Silver
S000166,R06691,2025-04-27 07:53:03+02:05,20,4,0,Cairo,Silver
S000167,R00626,2025-04-27 13:47:39+00:14,1,1,0,Lagos,Silver
S000168,R06613,2025-04-27 15:58:30+02:05,58,1,1,Cairo,Silver
S000169,R06505,2025-04-27 07:32:33+02:27,0,2,0,Nairobi,Bronze
S000170,R02212,2025-04-27 11:34:43+02:05,229,3,1,Cairo,Bronze
S000171,R03294,2025-04-27 00:35:31+02:05,18,4,1,Cairo,Bronze
S000172,R00529,2025-04-27 03:44:06+02:27,37,5,0,Nairobi,Bronze
S000173,R01226,2025-04-27 09:19:45+02:05,13,2,0,Cairo,Silver
S000174,R00820,2025-04-27 09:52:25+00:14,197,4,0,Lagos,Gold
S000175,R06720,2025-04-27 17:05:25+02:27,129,3,0,Nairobi,Bronze
S000176,R02433,2025-04-27 21:06:16+02:27,1,4,0,Nairobi,Bronze
S000177,R03149,2025-04-27 00:16:53+02:27,171,3,0,Nairobi,Bronze
S000178,R04679,2025-04-27 20:01:52+00:14,13,3,1,Lagos,Platinum
S000179,R06210,2025-04-27 18:46:54+00:14,11,2,0,Lagos,Bronze
S000180,R04130,2025-04-27 18:00:51+02:05,16,3,1,Cairo,Silver
S000181,R05553,2025-04-27 07:14:08+00:14,63,1,0,Lagos,Silver
S000182,R02910,2025-04-27 09:58:35+02:05,1,4,0,Cairo,Gold
S000183,R09812,2025-04-27 06:45:52+02:27,17,1,0,Nairobi,Bronze
S000184,R03083,2025-04-27 00:07:46+02:05,284,2,0,Cairo,Silver
S000185,R05932,2025-04-27 05:16:52+02:05,35,5,0,Cairo,Silver
S000186,R02998,2025-04-27 10:14:35+02:05,62,2,0,Cairo,Bronze
S000187,R01719,2025-04-27 16:16:12+00:14,122,2,0,Lagos,Bronze
S000188,R08443,2025-04-27 09:39:50+00:14,15,3,0,Lagos,Bronze
S000189,R06567,2025-04-27 01:57:51+02:27,81,4,0,Nairobi,Bronze
S000190,R06701,2025-04-27 01:30:15+00:14,25,2,1,Lagos,Bronze
S000191,R03946,2025-04-27 20:37:46+02:27,27,1,0,Nairobi,Bronze
S000192,R06542,2025-04-27 17:42:14+02:05,2,5,0,Cairo,Bronze
S000193,R02374,2025-04-27 13:11:05+02:05,0,2,0,Cairo,Bronze
S000194,R09396,2025-04-27 05:17:14+00:14,14,1,0,Lagos,Bronze
S000195,R03886,2025-04-27 15:24:11+02:27,174,3,0,Nairobi,Bronze
S000196,R04404,2025-04-27 00:17:56+02:27,0,2,0,Nairobi,Bronze
S000197,R09046,2025-04-27 01:54:21+00:14,13,3,0,Lagos,Silver
S000198,R00482,2025-04-27 17:03:16+02:05,0,4,0,Cairo,Gold
S000199,R07716,2025-04-27 15:46:59+02:05,0,1,1,Cairo,Silver
S000200,R07098,2025-04-27 14:53:37+00:14,7,2,0,Lagos,Silver
S000201,R05739,2025-04-27 16:47:21+02:27,4,1,0,Nairobi,Bronze
S000202,R06076,2025-04-27 12:09:05+00:14,2,5,0,Lagos,Bronze
S000203,R08064,2025-04-27 08:26:30+00:14,26,3,0,Lagos,Platinum
S000204,R08615,2025-04-27 01:15:31+00:14,34,5,1,Lagos,Bronze
S000205,R06927,2025-04-27 07:18:42+02:05,105,1,0,Cairo,Bronze
S000206,R06493,2025-04-27 13:53:45+02:27,311,1,0,Nairobi,Bronze
S000207,R05026,2025-04-27 19:54:01+02:05,5,5,0,Cairo,Bronze
S000208,R06033,2025-04-27 09:12:02+02:27,47,5,1,Nairobi,Bronze
S000209,R05851,2025-04-27 09:05:41+02:27,45,2,0,Nairobi,Silver
S000210,R08948,2025-04-27 20:55:40+02:27,12,1,0,Nairobi,Gold
S000211,R05025,2025-04-27 07:34:17+02:27,172,3,0,Nairobi,Gold
S000212,R07757,2025-04-27 13:09:13+02:27,2,1,0,Nairobi,Silver
S000213,R04948,2025-04-27 06:00:50+02:05,1228,1,0,Cairo,Bronze
S000214,R09395,2025-04-27 05:55:03+02:27,22,1,1,Nairobi,Silver
S000215,R06378,2025-04-27 13:47:51+00:14,30,2,0,Lagos,Silver
S000216,R03058,2025-04-27 20:29:52+02:27,26,2,0,Nairobi,Bronze
S000217,R00580,2025-04-27 08:51:17+02:27,7,5,0,Nairobi,Bronze
S000218,R03963,2025-04-27 10:12:20+02:27,4,1,0,Nairobi,Bronze
S000219,R07316,2025-04-27 16:17:22+00:14,2,4,0,Lagos,Bronze
S000220,R04783,2025-04-27 06:20:05+02:27,203,5,0,Nairobi,Platinum
S000221,R09551,2025-04-27 17:10:18+02:05,47,1,0,Cairo,Bronze
S000222,R08156,2025-04-27 12:21:57+00:14,18,2,0,Lagos,Bronze
S000223,R03651,2025-04-27 16:04:21+02:05,22,5,0,Cairo,Bronze
S000224,R00927,2025-04-27 17:07:54+02:27,126,1,0,Nairobi,Bronze
S000225,R07371,2025-04-27 07:44:24+00:14,53,1,0,Lagos,Silver
S000226,R07077,2025-04-27 03:42:12+00:14,109,3,0,Lagos,Bronze
S000227,R00059,2025-04-27 21:54:58+00:14,49,3,0,Lagos,Bronze
S000228,R03590,2025-04-27 12:37:47+02:05,0,1,0,Cairo,Bronze
S000229,R03481,2025-04-27 17:51:42+02:27,17,2,0,Nairobi,Silver
S000230,R08739,2025-04-27 06:12:28+02:27,9,5,0,Nairobi,Silver
S000231,R05067,2025-04-27 12:32:53+00:14,25,4,0,Lagos,Bronze
S000232,R05019,2025-04-27 18:10:52+00:14,93,2,1,Lagos,Bronze
S000233,R00672,2025-04-27 18:52:28+02:27,49,5,1,Nairobi,Silver
S000234,R09225,2025-04-27 06:30:22+00:14,73,1,0,Lagos,Bronze
S000235,R09382,2025-04-27 15:50:13+02:27,90,5,1,Nairobi,Bronze
S000236,R07650,2025-04-27 16:21:58+02:27,8,1,1,Nairobi,Silver
S000237,R03267,2025-04-27 00:51:43+00:14,13,1,0,Lagos,Bronze
S000238,R07433,2025-04-27 13:00:57+02:05,236,3,0,Cairo,Silver
S000239,R06547,2025-04-27 08:35:40+02:27,19,4,0,Nairobi,Gold
S000240,R02383,2025-04-27 06:38:16+02:05,71,5,0,Cairo,Silver
S000241,R02573,2025-04-27 04:27:48+02:27,2,2,0,Nairobi,Silver
S000242,R08689,2025-04-27 07:07:21+02:05,806,1,1,Cairo,Bronze
S000243,R00243,2025-04-27 07:31:58+02:05,0,1,0,Cairo,Bronze
S000244,R08458,2025-04-27 06:06:18+00:14,87,2,0,Lagos,Bronze
S000245,R09119,2025-04-27 06:24:34+00:14,98,2,0,Lagos,Bronze
S000246,R09472,2025-04-27 16:40:11+00:14,167,2,0,Lagos,Bronze
S000247,R04704,2025-04-27 17:04:38+00:14,3,4,0,Lagos,Gold
S000248,R09585,2025-04-27 15:50:52+00:14,138,1,0,Lagos,Bronze
S000249,R09481,2025-04-27 20:42:02+00:14,2,4,0,Lagos,Bronze
S000250,R09492,2025-04-27 12:59:20+02:05,61,4,0,Cairo,Bronze
S000251,R03635,2025-04-27 19:12:51+02:05,63,2,0,Cairo,Bronze
S000252,R07483,2025-04-27 08:11:01+02:27,608,4,1,Nairobi,Silver
S000253,R01756,2025-04-27 17:59:47+02:27,91,3,0,Nairobi,Silver
S000254,R05755,2025-04-27 15:50:31+02:27,9,4,1,Nairobi,Silver
S000255,R07541,2025-04-27 19:42:10+00:14,38,5,0,Lagos,Bronze
S000256,R08551,2025-04-27 13:45:12+00:14,172,1,0,Lagos,Silver
S000257,R06691,2025-04-27 23:33:43+02:05,163,2,0,Cairo,Silver
S000258,R00541,2025-04-27 17:53:02+00:14,38,2,1,Lagos,Gold
S000259,R08195,2025-04-27 07:02:27+02:27,181,5,1,Nairobi,Silver
S000260,R01658,2025-04-27 14:13:39+02:27,95,3,0,Nairobi,Gold
S000261,R08935,2025-04-27 19:26:31+02:27,125,1,0,Nairobi,Silver
S000262,R09460,2025-04-27 08:33:23+00:14,42,4,0,Lagos,Silver
S000263,R08422,2025-04-27 21:50:47+02:05,277,5,0,Cairo,Silver
S000264,R01488,2025-04-27 04:39:49+02:27,0,5,0,Nairobi,Bronze
S000265,R06096,2025-04-27 21:12:08+02:05,45,2,0,Cairo,Silver
S000266,R02565,2025-04-27 16:08:34+02:27,75,1,0,Nairobi,Platinum
S000267,R06834,2025-04-27 17:22:28+00:14,2,1,1,Lagos,Bronze
S000268,R07531,2025-04-27 10:17:26+02:27,16,5,0,Nairobi,Gold
S000269,R04444,2025-04-27 19:57:39+00:14,55,5,0,Lagos,Bronze
S000270,R02161,2025-04-27 14:57:31+02:27,18,1,0,Nairobi,Bronze
S000271,R08596,2025-04-27 18:17:04+02:27,115,1,0,Nairobi,Silver
S000272,R00529,2025-04-27 01:16:15+02:27,10,5,0,Nairobi,Bronze
S000273,R08738,2025-04-27 11:29:30+00:14,3,3,0,Lagos,Bronze
S000274,R03097,2025-04-27 17:36:38+02:05,109,5,0,Cairo,Bronze
S000275,R08448,2025-04-27 04:56:47+02:05,18,1,0,Cairo,Platinum
S000276,R04677,2025-04-27 17:38:40+02:05,3,5,0,Cairo,Silver
S000277,R00524,2025-04-27 22:04:27+02:05,58,4,0,Cairo,Bronze
S000278,R00848,2025-04-27 17:02:26+02:27,202,3,0,Nairobi,Bronze
S000279,R01087,2025-04-27 07:23:16+02:05,22,2,0,Cairo,Bronze
S000280,R03111,2025-04-27 12:23:32+00:14,6,1,0,Lagos,Bronze
S000281,R05109,2025-04-27 01:29:12+02:05,10,1,1,Cairo,Platinum
S000282,R02433,2025-04-27 12:49:08+02:27,24,2,0,Nairobi,Bronze
S000283,R03390,2025-04-27 04:58:35+00:14,2,5,0,Lagos,Silver
S000284,R06718,2025-04-27 13:06:00+02:27,0,4,0,Nairobi,Bronze
S000285,R03986,2025-04-27 07:50:27+00:14,41,2,1,Lagos,Platinum
S000286,R02837,2025-04-27 09:50:50+00:14,8,5,0,Lagos,Bronze
S000287,R01015,2025-04-27 17:24:37+00:14,0,5,0,Lagos,Bronze
S000288,R04906,2025-04-27 04:01:26+00:14,37,5,0,Lagos,Bronze
S000289,R09394,2025-04-27 08:48:11+02:05,4,1,0,Cairo,Bronze
S000290,R07196,2025-04-27 18:57:54+02:27,31,4,1,Nairobi,Bronze
S000291,R01579,2025-04-27 02:48:43+00:14,99,5,0,Lagos,Bronze
S000292,R09104,2025-04-27 18:21:24+02:27,8,1,0,Nairobi,Silver
S000293,R09005,2025-04-27 11:19:33+00:14,10,5,0,Lagos,Bronze
S000294,R03826,2025-04-27 21:24:05+02:27,5,2,0,Nairobi,Bronze
S000295,R07296,2025-04-27 19:07:17+02:27,115,1,1,Nairobi,Bronze
S000296,R09636,2025-04-27 11:39:01+02:05,1758,5,0,Cairo,Bronze
S000297,R07691,2025-04-27 19:03:23+02:27,29,2,0,Nairobi,Bronze
S000298,R05075,2025-04-27 19:05:27+02:05,30,5,1,Cairo,Platinum
S000299,R02288,2025-04-27 21:19:13+02:27,19,4,0,Nairobi,Silver
S000300,R09980,2025-04-27 18:18:51+02:27,88,5,0,Nairobi,Bronze
S000301,R03042,2025-04-27 09:39:08+02:05,24,1,0,Cairo,Bronze
S000302,R06618,2025-04-27 11:01:40+02:27,15,3,0,Nairobi,Silver
S000303,R01584,2025-04-27 08:30:58+00:14,46,5,0,Lagos,Silver
S000304,R03572,2025-04-27 08:54:09+02:05,111,5,0,Cairo,Silver
S000305,R01345,2025-04-27 08:15:24+02:27,59,4,0,Nairobi,Bronze
S000306,R09667,2025-04-27 07:22:49+00:14,23,3,0,Lagos,Bronze
S000307,R00032,2025-04-27 01:46:41+02:27,47,5,0,Nairobi,Bronze
S000308,R01751,2025-04-27 07:38:20+02:05,49,1,0,Cairo,Silver
S000309,R02060,2025-04-27 09:31:25+00:14,16,1,0,Lagos,Bronze
S000310,R05319,2025-04-27 15:42:36+02:27,34,2,0,Nairobi,Silver
S000311,R04669,2025-04-27 12:51:26+00:14,8,2,0,Lagos,Silver
S000312,R09933,2025-04-27 16:47:10+02:27,3,5,0,Nairobi,Silver
S000313,R03294,2025-04-27 13:21:33+02:05,43,2,0,Cairo,Bronze
S000314,R01226,2025-04-27 15:11:19+02:05,20,2,0,Cairo,Silver
S000315,R09672,2025-04-27 08:44:14+00:14,107,5,0,Lagos,Silver
S000316,R06879,2025-04-27 16:25:01+02:05,49,3,0,Cairo,Bronze
S000317,R03778,2025-04-27 06:06:51+00:14,119,5,0,Lagos,Bronze
S000318,R03615,2025-04-27 06:40:34+02:05,28,2,0,Cairo,Bronze
S000319,R05188,2025-04-27 17:55:55+00:14,96,1,0,Lagos,Silver
S000320,R02599,2025-04-27 04:03:05+02:05,29,2,0,Cairo,Bronze
S000321,R03517,2025-04-27 22:40:29+02:05,2,5,1,Cairo,Silver
S000322,R07093,2025-04-27 01:17:13+00:14,19,1,0,Lagos,Bronze
S000323,R05632,2025-04-27 16:44:20+00:14,82,4,0,Lagos,Bronze
S000324,R06791,2025-04-27 13:29:19+02:05,68,4,0,Cairo,Silver
S000325,R02840,2025-04-27 02:50:21+00:14,26,5,0,Lagos,Bronze
S000326,R04020,2025-04-27 22:55:56+00:14,208,3,0,Lagos,Bronze
S000327,R00257,2025-04-27 16:48:04+02:27,126,3,0,Nairobi,Bronze
S000328,R09058,2025-04-27 01:06:51+00:14,16,2,0,Lagos,Bronze
S000329,R08794,2025-04-27 13:26:35+00:14,12,4,1,Lagos,Gold
S000330,R04782,2025-04-27 07:51:38+02:05,9,1,0,Cairo,Bronze
S000331,R09223,2025-04-27 08:42:36+02:05,5,1,0,Cairo,Bronze
S000332,R01860,2025-04-27 12:37:22+02:05,163,2,0,Cairo,Bronze
S000333,R05205,2025-04-27 19:31:47+00:14,57,3,1,Lagos,Gold
S000334,R00029,2025-04-27 13:52:28+00:14,26,2,0,Lagos,Bronze
S000335,R02929,2025-04-27 18:10:08+02:27,1,4,0,Nairobi,Bronze
S000336,R00286,2025-04-27 14:23:08+02:05,9,3,0,Cairo,Bronze
S000337,R04028,2025-04-27 12:18:52+02:27,11,5,0,Nairobi,Bronze
S000338,R08394,2025-04-27 22:24:35+02:05,11,4,0,Cairo,Bronze
